순번,분류체계ID,분류체계명,상위과제ID,분류체계단계,시행시기,수행기관,기관코드,분류체계경로
1622,B1000520070110000200502,전통과학기술실용화연구,NB000420061201100039965,소기능,2007-01-11,국가유산청,1833100,문화체육관광>>국가유산>>문화유산조사·연구·복원>>전통건축>>전통과학기술실용화연구
1623,B1000520070110000200503,표준화연구·용역사업 업무 ,NB000420061207100081997,소기능,2013-03-23,산업통상부,1451000,산업·통상·중소기업>>산업진흥·고도화>>산업기술표준및제품안전관리>>바이오환경표준화 추진>>표준화연구·용역사업 업무 
1624,B1000520070110000200505,국내·외 환경규제 대응 업무 ,NB000420061207100081997,소기능,2013-03-23,산업통상부,1451000,산업·통상·중소기업>>산업진흥·고도화>>산업기술표준및제품안전관리>>바이오환경표준화 추진>>국내·외 환경규제 대응 업무 
1625,B1000520070110000200506,법령검토 및 홍보업무,NB000420061207100081997,소기능,2013-03-23,산업통상부,1451000,산업·통상·중소기업>>산업진흥·고도화>>산업기술표준및제품안전관리>>바이오환경표준화 추진>>법령검토 및 홍보업무
1626,B1000520070110000200516,정책포털 시스템 관리,NB000420061207100084331,소기능,2008-02-29,문화체육관광부,1371000,일반공공행정>>국정홍보>>국정홍보기획>>국정관련뉴스사이트총괄>>정책포털 시스템 관리
1627,B1000520070110000200523,국정브리핑서비스,NB000420061207100084331,소기능,2008-02-29,문화체육관광부,1371000,일반공공행정>>국정홍보>>국정홍보기획>>국정관련뉴스사이트총괄>>국정브리핑서비스
1628,B1000520070110000200558,어린이먹거리 안전관리 ,NB000420061201100062858,소기능,2013-03-23,식품의약품안전처,1471000,보건>>식품의약안전>>식품안전>>영양기능 식품관리>>어린이먹거리 안전관리 
1629,B1000520070110000200561,특별교육운영,NB000420061207100088029,소기능,2014-11-18,인사혁신처,1760000,일반공공행정>>일반행정>>공무원교육>>교육운영>>특별교육운영
1630,B1000520070110000200572,항만재개발추진기획단,NB000420061215100133129,소기능,2013-03-23,해양수산부,1192000,교통및물류>>해운·항만>>항만개발및건설>>항만정책>>항만재개발추진기획단
1631,B1000520070110000200601,FIU 정보시스템,NB000420061201100060444,소기능,2008-02-29,금융위원회,1160100,재정·세제·금융>>금융>>금융정보분석>>금융정보분석총괄>>FIU 정보시스템
1632,B1000520070110000200605,특정금융거래 정보,NB000420061201100060473,소기능,2008-02-29,금융위원회,1160100,재정·세제·금융>>금융>>금융정보분석>>심사분석총괄>>특정금융거래 정보
1633,B1000520070111000200608,민유림 산림경영계획,NB000420061201100017066,소기능,2007-01-11,산림청,1400000,농림>>임업·산촌>>산림경영기반구축>>경영지원>>민유림 산림경영계획
1634,B1000520070111000200622,남북경제협력 총괄·조정,B1000420070111000200619,소기능,2008-02-29,기획재정부,1051000,일반공공행정>>재정·금융>>경제협력>>남북경제협력>>남북경제협력 총괄·조정
1635,B1000520070111000200627,북한개발 국제협력,NB000420061201100059787,소기능,2008-02-29,기획재정부,1051000,일반공공행정>>재정·금융>>경제협력>>남북 경제발전 전략>>북한개발 국제협력
1636,B1000520070111000200628,남북경협 장단기 정책개발·조정,NB000420061201100059787,소기능,2008-02-29,기획재정부,1051000,일반공공행정>>재정·금융>>경제협력>>남북 경제발전 전략>>남북경협 장단기 정책개발·조정
1637,B1000520070111000200629,통일대비 경제분야 연구·분석,NB000420061201100059787,소기능,2008-02-29,기획재정부,1051000,일반공공행정>>재정·금융>>경제협력>>남북 경제발전 전략>>통일대비 경제분야 연구·분석
1638,B1000520070111000200637,정책연구용역의 관리,NB000420061215100139100,소기능,2008-02-29,문화체육관광부,1371000,문화체육관광>>문화체육관광일반>>문화관광행정지원>>기획>>정책연구용역의 관리
1639,B1000520070111000200694,"체육주간, 체육의 날 행사",NB000420061215100140594,소기능,2008-02-29,문화체육관광부,1371000,"문화체육관광>>체육>>체육정책>>체육정책 총괄>>체육주간, 체육의 날 행사"
1640,B1000520070111000200703,식품등의 위해평가 총괄 조정,NB000420061201100062824,소기능,2013-03-29,식품의약품안전처,1471000,보건>>식품의약안전>>식품안전>>식품등의위해물질안전관리>>식품등의 위해평가 총괄 조정
1641,B1000520070111000200747,연금,NB000420061207100091342,소기능,2007-01-11,기후에너지환경부,1482000,환경>>환경일반>>환경행정지원>>보험>>연금
1642,B1000520070111000200762,관세율 제도,NB000420061201100060301,소기능,2008-02-29,기획재정부,1051000,재정·세제·금융>>세제>>조세정책>>산업관세>>관세율 제도
1643,B1000520070111000200772,산업관세협상,NB000420061201100060301,소기능,2008-02-29,기획재정부,1051000,재정·세제·금융>>세제>>조세정책>>산업관세>>산업관세협상
1644,B1000520070111000200841,국유재산 법령·제도,NB000420061201100059908,소기능,2008-02-29,기획재정부,1051000,재정·세제·금융>>기획재정>>국고관리>>국유재산 관리제도>>국유재산 법령·제도
1645,B1000520070111000200856,물품관리제도,NB000420061201100059908,소기능,2008-02-29,기획재정부,1051000,재정·세제·금융>>기획재정>>국고관리>>국유재산 관리제도>>물품관리제도
1646,B1000520070112000200867,대부채권관리 정책수립 및 결산,NB000420061215100124531,소기능,2023-05-23,국가보훈처|국가보훈부,1180000|1830000,사회복지>>보훈>>보훈복지>>보훈생활안정지원>>대부채권관리 정책수립 및 결산
1647,B1000520070112000200884,대부채권 수납 관리,NB000420061215100124531,소기능,2023-05-23,국가보훈처|국가보훈부,1180000|1830000,사회복지>>보훈>>보훈복지>>보훈생활안정지원>>대부채권 수납 관리
1648,B1000520070112000200900,대부채권 체납관리,NB000420061215100124531,소기능,2023-05-23,국가보훈처|국가보훈부,1180000|1830000,사회복지>>보훈>>보훈복지>>보훈생활안정지원>>대부채권 체납관리
1649,B1000520070112000200904,조세지출예산제도,NB000420061201100060195,소기능,2008-04-02,기획재정부,1051000,재정·세제·금융>>세제>>조세정책>>조세지출예산>>조세지출예산제도
1650,B1000520070112000200930,소득세제 기획,B1000420070104000198304,소기능,2008-02-29,기획재정부,1051000,재정·세제·금융>>세제>>조세정책>>소득세제>>소득세제 기획
1651,B1000520070112000200966,국고자금,NB000420061201100059815,소기능,2008-02-29,기획재정부,1051000,재정·세제·금융>>기획재정>>국고관리>>국고정책>>국고자금
1652,B1000520070112000201009,철도건설정책제도,NB000420061213100114485,소기능,2013-03-23,국토교통부,1613000,교통및물류>>철도>>일반철도및광역철도건설>>일반철도건설 총괄>>철도건설정책제도
1653,B1000520070112000201011,자본시장 총괄,NB000420061201100016322,소기능,2018-09-18,금융위원회,1160100,재정·세제·금융>>금융>>금융소비자보호>>자본시장>>자본시장 총괄
1654,B1000520070112000201016,증권유관기관 감독,NB000420061201100016322,소기능,2008-03-20,금융위원회,1160100,재정·세제·금융>>금융>>금융소비자보호>>자본시장>>증권유관기관 감독
1655,B1000520070112000201075,법인등록 및 관리,NB000420061201100039158,소기능,2007-01-12,국가유산청,1833100,문화체육관광>>국가유산>>국가유산행정지원>>법무>>법인등록 및 관리
1656,B1000520070112000201086,원예작물 시험연구지원,NB000420061201100037624,소기능,2007-01-22,농촌진흥청,1390000,농림>>농업·농촌>>농촌진흥행정지원>>운영지원>>원예작물 시험연구지원
1657,B1000520070112000201107,"도로 R and D, 건설기술기반구축 과제총괄",NB000420061213100114503,소기능,2013-03-23,국토교통부,1613000,"교통및물류>>도로>>도로정책>>도로정책 총괄>>도로 R and D, 건설기술기반구축 과제총괄"
1658,B1000520070112000201143,소비자단체·기관,NB000420061201100059619,소기능,2008-02-29,기획재정부,1051000,일반공공행정>>재정·금융>>경제정책>>소비자정책>>소비자단체·기관
1659,B1000520070112000201161,혁신 추진 및 평가,NB000420061201100059060,소기능,2008-02-29,기획재정부,1051000,재정·세제·금융>>기획재정>>기획재정행정지원>>행정관리>>혁신 추진 및 평가
1660,B1000520070113000201173,학습계획,NB000420061215100125327,소기능,2010-03-19,보건복지부,1352000,사회복지>>사회복지일반>>보건복지행정지원>>인사관리>>학습계획
1661,B1000520070113000201193,혁신확산,NB000420061215100125430,소기능,2010-03-19,보건복지부,1352000,사회복지>>사회복지일반>>보건복지행정지원>>행정관리>>혁신확산
1662,B1000520070115000201209,통계활용 홍보,NB000420061201100056693,소기능,2015-01-15,국가데이터처,1241000,일반공공행정>>일반행정>>통계행정지원>>홍보>>통계활용 홍보
1663,B1000520070115000201227,지역통계개발협력 및 지원,NB000420061201100056819,소기능,2007-01-15,국가데이터처,1241000,일반공공행정>>국가통계>>국가통계생산및관리>>통계조사관리>>지역통계개발협력 및 지원
1664,B1000520070115000201234,원예특작 기술지원,NB000420061201100051029,소기능,2014-02-04,농촌진흥청,1390000,농림>>농업·농촌>>농업기술연구·개발>>원예작물연구>>원예특작 기술지원
1665,B1000520070115000201238,북한동향에 따른 경제대책,B1000420070111000200619,소기능,2008-02-29,기획재정부,1051000,일반공공행정>>재정·금융>>경제협력>>남북경제협력>>북한동향에 따른 경제대책
1666,B1000520070115000201249,농업공학 시험연구사업의 기획,NB000420061201100051082,소기능,2007-01-30,농촌진흥청,1390000,농림>>농업·농촌>>농업기술연구·개발>>농업공학연구>>농업공학 시험연구사업의 기획
1667,B1000520070115000201254,정책홍보회의,NB000420061201100059120,소기능,2008-02-29,기획재정부,1051000,재정·세제·금융>>기획재정>>기획재정행정지원>>기획>>정책홍보회의
1668,B1000520070115000201256,정책홍보물 기획·제작,NB000420061201100059084,소기능,2008-02-29,기획재정부,1051000,재정·세제·금융>>기획재정>>기획재정행정지원>>홍보>>정책홍보물 기획·제작
