순번,분류체계ID,분류체계명,상위과제ID,분류체계단계,시행시기,수행기관,기관코드,분류체계경로
1,NB000120061201100041870,공공질서및안전,0,정책분야,2021-01-19,기획재정부|해양수산부|법무부|경찰청|해양경찰청|소방청|행정안전부|인사혁신처|고위공직자범죄수사처,1051000|1192000|1270000|1320000|1532000|1661000|1741000|1760000|1790364,공공질서및안전
2,NB000120061201100034772,과학기술,0,정책분야,2024-04-17,국가과학기술자문회의|원자력안전위원회|기상청|중소벤처기업부|과학기술정보통신부|우주항공청,1074500|1079960|1360000|1421000|1721000|1834100,과학기술
3,NB000120061201100027875,교육,0,정책분야,2022-11-22,교육부|국가교육위원회,1342000|1813266,교육
4,NB000120061201100059544,교통및물류,0,정책분야,2017-03-20,기획재정부|해양수산부|산업통상자원부|국토교통부,1051000|1192000|1450000|1613000,교통및물류
5,NB000120061201100032701,국방,0,정책분야,2006-12-01,국방부|병무청|방위사업청,1290000|1300000|1690000,국방
6,NB000120061201100016465,농림,0,정책분야,2022-07-15,기획재정부|해양수산부|농촌진흥청|산림청|식품의약품안전처|농림축산식품부,1051000|1192000|1390000|1400000|1471000|1543000,농림
7,NB000120061201100039075,문화체육관광,0,정책분야,2024-05-02,문화체육관광부|국가유산청,1371000|1833100,문화체육관광
8,NB000120061201100060495,보건,0,정책분야,2020-09-11,보건복지부|식품의약품안전처|질병관리청,1352000|1471000|1790387,보건
9,NB000120061201100031424,사회복지,0,정책분야,2023-05-23,기획재정부|국가보훈처|국방부|교육부|보건복지부|여성가족부|고용노동부|국토교통부|국가보훈부,1051000|1180000|1290000|1342000|1352000|1383000|1492000|1613000|1830000,사회복지
10,NB000120061130100005269,산업·통상·중소기업,0,정책분야,2022-07-15,기획재정부|공정거래위원회|교육부|중소벤처기업부|특허청|산업통상자원부|과학기술정보통신부|새만금개발청|우주항공청,1051000|1130000|1342000|1421000|1430000|1450000|1721000|1730000|1834100,산업·통상·중소기업
11,NB000120061201100006252,일반공공행정,0,정책분야,2024-11-18,국정기획자문위원회|대통령비서실|감사원|기획재정부|정책기획위원회|저출산고령사회위원회|국가균형발전위원회|국가과학기술자문회의|가습기살균제사건과4.16세월호참사특별조사위원회|경제사회노동위원회|부마민주항쟁진상규명및관련자명예회복심의위원회|원자력안전위원회|국무조정실|국무총리비서실|공정거래위원회|국민권익위원회|법제처|국세청|관세청|조달청|통계청|보건복지부|문화체육관광부|국토교통부|국가인권위원회|특별감찰관|국가테러대책위원회|지방자치발전위원회|과학기술정보통신부|행정안전부|인사혁신처|국민경제자문회의|국가기후환경회의|농어업·농어촌특별위원회|농어업농어촌특별위원회|개인정보보호위원회|진실화해를위한과거사정리위원회|대통령직인수위원회|국가인공지능위원회|여수.순천10.19사건진상규명및희생자명예회복위원회|국가교육위원회|국민통합위원회|디지털플랫폼정부위원회|지방시대위원회|10.29이태원참사진상규명과재발방지를위한특별조사위원회|경제사회발전노사정위원회|녹색성장위원회|국가브랜드위원회|국가건축정책위원회|지역발전위원회|사회통합위원회|G20정상회의준비위원회|국가정보화전략위원회|지방행정체제개편추진위원회|국가지식재산위원회|2018평창동계올림픽대회조직위원회|국민대통합위원회|국가과학기술심의회|청년위원회|민관합동창조경제추진단|통일준비위원회|과학기술전략회의지원단|정부통합의사소통,1013050|1015000|1040000|1051000|1071000|1071800|1073500|1074500|1074601|1074800|1075150|1079960|1092000|1103000|1130000|1140100|1170000|1210000|1220000|1230000|1240000|1352000|1371000|1613000|1620000|1682500|1700200|1720000|1721000|1741000|1760000|1790049|1790213|1790214|1790242|1790365|1790558|1790634|1790900|1813231|1813266|1813267|1813285|1833000|1834600|B551921|B552462|B552472|B552524|B552531|B552562|B552566|B552649|B552712|B552783|B552852|B553003|B553005|B553015|B553190|B553392|B553669|D000001,일반공공행정
12,B1000120140124000225462,재정·세제·금융,0,정책분야,2017-10-19,기획재정부|국무조정실|금융위원회|관세청,1051000|1092000|1160100|1220000,재정·세제·금융
13,NB000120061213100114178,지역개발,0,정책분야,2013-09-09,국토교통부|행정중심복합도시건설청|새만금개발청,1613000|1670000|1730000,지역개발
14,NB000120061201100054060,통신,0,정책분야,2024-04-17,문화체육관광부|방송통신위원회|과학기술정보통신부|우주항공청,1371000|1570100|1721000|1834100,통신
15,NB000120061201100059686,통일·외교,0,정책분야,2023-05-30,기획재정부|민주평화통일자문회의사무처|통일부|외교부|산업통상자원부|재외동포청,1051000|1081000|1250000|1262000|1450000|1832000,통일·외교
16,B1000120140124000225461,해양수산,0,정책분야,2014-01-24,해양수산부,1192000,해양수산
17,NB000120061207100091168,환경,0,정책분야,2017-07-26,해양수산부|환경부|해양경찰청,1192000|1480000|1532000,환경
18,B1000220200910000236966,감염병및질병,NB000120061201100060495,정책영역,2020-09-11,질병관리청,1790387,보건>>감염병및질병
19,B1000220200803000236295,개인정보,NB000120061201100006252,정책영역,2020-08-05,개인정보보호위원회,1790365,일반공공행정>>개인정보
20,NB000220061215100125619,건강보험,NB000120061201100060495,정책영역,2010-03-19,보건복지부,1352000,보건>>건강보험
21,NB000220061201100057341,경찰,NB000120061201100041870,정책영역,2017-07-26,경찰청|행정안전부,1320000|1741000,공공질서및안전>>경찰
22,NB000220061201100028904,고등교육,NB000120061201100027875,정책영역,2013-03-23,교육부,1342000,교육>>고등교육
23,NB000220061201100036232,고용노동,NB000120061201100031424,정책영역,2014-01-24,고용노동부,1492000,사회복지>>고용노동
24,B1000220210119000238756,고위공직자범죄수사,NB000120061201100041870,정책영역,2021-01-19,고위공직자범죄수사처,1790364,공공질서및안전>>고위공직자범죄수사
25,NB000220061201100033641,공적연금,NB000120061201100031424,정책영역,2013-03-23,국방부|교육부|보건복지부,1290000|1342000|1352000,사회복지>>공적연금
26,B1000220140124000225464,공정거래,NB000120061130100005269,정책영역,2014-01-24,공정거래위원회,1130000,산업·통상·중소기업>>공정거래
27,NB000220061201100040605,과학기술연구,NB000120061201100034772,정책영역,2017-07-26,국가과학기술위원회(구)|중소벤처기업부|과학기술정보통신부|우주항공청,1191000|1421000|1721000|1834100,과학기술>>과학기술연구
28,NB000220061201100034773,과학기술진흥,NB000120061201100034772,정책영역,2024-04-29,국가과학기술자문회의|기상청|중소벤처기업부|과학기술정보통신부|우주항공청,1074500|1360000|1421000|1721000|1834100,과학기술>>과학기술진흥
29,NB000220061215100139552,관광,NB000120061201100039075,정책영역,2017-03-20,문화체육관광부,1371000,문화체육관광>>관광
30,NB000220061201100027876,교육일반,NB000120061201100027875,정책영역,2022-11-22,교육부|국가교육위원회,1342000|1813266,교육>>교육일반
31,NB000220061201100039076,국가유산,NB000120061201100039075,정책영역,2024-05-02,국가유산청,1833100,문화체육관광>>국가유산
32,B1000220140124000225470,국가통계,NB000120061201100006252,정책영역,2014-01-24,통계청,1240000,일반공공행정>>국가통계
33,B1000220140124000225466,국민권익·인권,NB000120061201100006252,정책영역,2014-01-24,국민권익위원회|국가인권위원회,1140100|1620000,일반공공행정>>국민권익·인권
34,NB000220061201100006253,국정운영,NB000120061201100006252,정책영역,2024-10-11,국정기획자문위원회|대통령비서실|감사원|기획재정부|정책기획위원회|저출산고령사회위원회|국가균형발전위원회|국가과학기술자문회의|가습기살균제사건과4.16세월호참사특별조사위원회|경제사회노동위원회|부마민주항쟁진상규명및관련자명예회복심의위원회|원자력안전위원회|국무조정실|국무총리비서실|공정거래위원회|국민권익위원회|법제처|국세청|관세청|조달청|통계청|보건복지부|문화체육관광부|국토교통부|국가인권위원회|특별감찰관|국가테러대책위원회|지방자치발전위원회|과학기술정보통신부|행정안전부|인사혁신처|국민경제자문회의|국가기후환경회의|농어업·농어촌특별위원회|농어업농어촌특별위원회|개인정보보호위원회|진실화해를위한과거사정리위원회|대통령직인수위원회|여수.순천10.19사건진상규명및희생자명예회복위원회|국가교육위원회|국민통합위원회|디지털플랫폼정부위원회|지방시대위원회|10.29이태원참사진상규명과재발방지를위한특별조사위원회|경제사회발전노사정위원회|녹색성장위원회|국가브랜드위원회|국가건축정책위원회|지역발전위원회|사회통합위원회|G20정상회의준비위원회|국가정보화전략위원회|지방행정체제개편추진위원회|국가지식재산위원회|2018평창동계올림픽대회조직위원회|국민대통합위원회|국가과학기술심의회|청년위원회|민관합동창조경제추진단|통일준비위원회|과학기술전략회의지원단|정부통합의사소통,1013050|1015000|1040000|1051000|1071000|1071800|1073500|1074500|1074601|1074800|1075150|1079960|1092000|1103000|1130000|1140100|1170000|1210000|1220000|1230000|1240000|1352000|1371000|1613000|1620000|1682500|1700200|1720000|1721000|1741000|1760000|1790049|1790213|1790214|1790242|1790365|1790558|1790634|1813231|1813266|1813267|1813285|1833000|1834600|B551921|B552462|B552472|B552524|B552531|B552562|B552566|B552649|B552712|B552783|B552852|B553003|B553005|B553015|B553190|B553392|B553669|D000001,일반공공행정>>국정운영
35,B1000220140124000225467,국정홍보,NB000120061201100006252,정책영역,2014-01-24,문화체육관광부,1371000,일반공공행정>>국정홍보
36,B1000220140124000225472,금융,B1000120140124000225462,정책영역,2014-01-24,기획재정부|금융위원회,1051000|1160100,재정·세제·금융>>금융
37,NB000220061215100125890,기초생활보장,NB000120061201100031424,정책영역,2010-03-19,보건복지부,1352000,사회복지>>기초생활보장
38,B1000220140124000225473,기획재정,B1000120140124000225462,정책영역,2014-01-24,기획재정부,1051000,재정·세제·금융>>기획재정
39,NB000220061201100031425,노인·청소년,NB000120061201100031424,정책영역,2010-03-19,보건복지부|여성가족부,1352000|1383000,사회복지>>노인·청소년
40,NB000220061201100037622,농업·농촌,NB000120061201100016465,정책영역,2022-07-15,기획재정부|해양수산부|농촌진흥청|산림청|식품의약품안전처|농림축산식품부,1051000|1192000|1390000|1400000|1471000|1543000,농림>>농업·농촌
41,NB000220061207100091641,대기,NB000120061207100091168,정책영역,2006-12-07,환경부,1480000,환경>>대기
42,NB000220061213100114094,도로,NB000120061201100059544,정책영역,2013-03-23,국토교통부,1613000,교통및물류>>도로
43,NB000220061130100006105,무역및투자유치,NB000120061130100005269,정책영역,2017-07-26,기획재정부|중소벤처기업부|산업통상자원부|새만금개발청,1051000|1421000|1450000|1730000,산업·통상·중소기업>>무역및투자유치
44,NB000220061215100139557,문화예술,NB000120061201100039075,정책영역,2008-02-29,문화체육관광부,1371000,문화체육관광>>문화예술
45,NB000220061215100139032,문화체육관광일반,NB000120061201100039075,정책영역,2008-02-29,문화체육관광부,1371000,문화체육관광>>문화체육관광일반
46,NB000220061201100059545,물류등기타,NB000120061201100059544,정책영역,2013-03-23,기획재정부|산업통상자원부|국토교통부,1051000|1450000|1613000,교통및물류>>물류등기타
47,NB000220061201100054061,방송통신,NB000120061201100054060,정책영역,2017-07-26,행정안전부(구)|문화체육관광부|방송통신위원회|과학기술정보통신부|우주항공청,1311000|1371000|1570100|1721000|1834100,통신>>방송통신
48,NB000220061215100134584,방위력개선,NB000120061201100032701,정책영역,2006-12-15,방위사업청,1690000,국방>>방위력개선
49,NB000220061201100041871,법무및검찰,NB000120061201100041870,정책영역,2017-03-20,법무부,1270000,공공질서및안전>>법무및검찰
50,B1000220140124000225468,법제,NB000120061201100006252,정책영역,2014-01-24,법제처,1170000,일반공공행정>>법제
51,NB000220061201100033860,병력운영,NB000120061201100032701,정책영역,2006-12-01,국방부,1290000,국방>>병력운영
52,NB000220061201100050076,병무행정,NB000120061201100032701,정책영역,2006-12-01,병무청,1300000,국방>>병무행정
53,NB000220061215100125685,보건의료,NB000120061201100060495,정책영역,2013-03-23,보건복지부|식품의약품안전처,1352000|1471000,보건>>보건의료
54,NB000220061208100092958,보육·가족및여성,NB000120061201100031424,정책영역,2017-03-20,보건복지부|여성가족부,1352000|1383000,사회복지>>보육·가족및여성
55,NB000220061214100123339,보훈,NB000120061201100031424,정책영역,2023-05-23,기획재정부|국가보훈처|국방부|보건복지부|여성가족부|국토교통부|국가보훈부,1051000|1180000|1290000|1352000|1383000|1613000|1830000,사회복지>>보훈
56,NB000220061215100124849,사회복지일반,NB000120061201100031424,정책영역,2017-03-20,기획재정부|보건복지부,1051000|1352000,사회복지>>사회복지일반
57,NB000220061130100005270,산업·중소기업일반,NB000120061130100005269,정책영역,2017-07-26,중소벤처기업부|산업통상자원부|과학기술정보통신부,1421000|1450000|1721000,산업·통상·중소기업>>산업·중소기업일반
58,NB000220061130100006023,산업금융,NB000120061130100005269,정책영역,2022-07-15,기획재정부|중소벤처기업부|특허청|산업통상자원부|새만금개발청,1051000|1421000|1430000|1450000|1730000,산업·통상·중소기업>>산업금융
59,NB000220061130100006159,산업기술지원,NB000120061130100005269,정책영역,2017-12-14,중소벤처기업부,1421000,산업·통상·중소기업>>산업기술지원
60,NB000220061213100114766,산업단지,NB000120061213100114178,정책영역,2013-03-23,국토교통부,1613000,지역개발>>산업단지
61,NB000220061130100005789,산업진흥·고도화,NB000120061130100005269,정책영역,2017-12-14,교육부|중소벤처기업부|특허청|산업통상자원부|과학기술정보통신부|우주항공청,1342000|1421000|1430000|1450000|1721000|1834100,산업·통상·중소기업>>산업진흥·고도화
62,NB000220061207100091806,상하수도·수질,NB000120061207100091168,정책영역,2006-12-07,환경부,1480000,환경>>상하수도·수질
63,B1000220140124000225471,세제,B1000120140124000225462,정책영역,2017-10-19,기획재정부|국무조정실|관세청,1051000|1092000|1220000,재정·세제·금융>>세제
64,NB000220061213100114200,수자원,NB000120061213100114178,정책영역,2013-03-23,국토교통부,1613000,지역개발>>수자원
65,NB000220061201100060496,식품의약안전,NB000120061201100060495,정책영역,2013-03-23,식품의약품안전처,1471000,보건>>식품의약안전
66,NB000220061207100084608,안전관리,NB000120061201100041870,정책영역,2017-07-26,기획재정부|해양경찰청|소방청|행정안전부|인사혁신처,1051000|1532000|1661000|1741000|1760000,공공질서및안전>>안전관리
67,NB000220061207100082622,에너지및자원개발,NB000120061130100005269,정책영역,2013-03-23,산업통상자원부,1450000,산업·통상·중소기업>>에너지및자원개발
68,B1000220240620000249123,영유아 교육·보육,NB000120061201100027875,정책영역,2024-06-21,교육부|국가교육위원회,1342000|1813266,교육>>영유아 교육·보육
69,NB000220061201100059687,외교,NB000120061201100059686,정책영역,2023-05-30,기획재정부|민주평화통일자문회의사무처|통일부|외교부|산업통상자원부|재외동포청,1051000|1081000|1250000|1262000|1450000|1832000,통일·외교>>외교
70,NB000220061201100054542,우정,NB000120061201100054060,정책영역,2017-12-14,과학기술정보통신부,1721000,통신>>우정
71,B1000220140124000225463,원자력기술,NB000120061201100034772,정책영역,2017-07-26,원자력안전위원회|과학기술정보통신부,1079960|1721000,과학기술>>원자력기술
72,NB000220061201100028395,유아및초·중등교육,NB000120061201100027875,정책영역,2022-11-22,교육부|국가교육위원회,1342000|1813266,교육>>유아및초·중등교육
73,NB000220061201100024361,일반행정,NB000120061201100006252,정책영역,2023-06-09,국정기획자문위원회|대통령비서실|감사원|기획재정부|정책기획위원회|저출산고령사회위원회|국가균형발전위원회|국가과학기술자문회의|경제사회노동위원회|부마민주항쟁진상규명및관련자명예회복심의위원회|원자력안전위원회|국무조정실|국무총리비서실|공정거래위원회|국민권익위원회|법제처|국세청|관세청|조달청|통계청|보건복지부|문화체육관광부|국토교통부|국가인권위원회|특별감찰관|국가테러대책위원회|지방자치발전위원회|과학기술정보통신부|행정안전부|인사혁신처|국민경제자문회의|국가기후환경회의|농어업·농어촌특별위원회|농어업농어촌특별위원회|개인정보보호위원회|대통령직인수위원회|여수.순천10.19사건진상규명및희생자명예회복위원회|국가교육위원회|국민통합위원회|디지털플랫폼정부위원회|경제사회발전노사정위원회|녹색성장위원회|국가브랜드위원회|국가건축정책위원회|지역발전위원회|사회통합위원회|국가정보화전략위원회|지방행정체제개편추진위원회|국가지식재산위원회|국민대통합위원회|국가과학기술심의회|청년위원회|민관합동창조경제추진단|통일준비위원회|과학기술전략회의지원단|정부통합의사소통,1013050|1015000|1040000|1051000|1071000|1071800|1073500|1074500|1074800|1075150|1079960|1092000|1103000|1130000|1140100|1170000|1210000|1220000|1230000|1240000|1352000|1371000|1613000|1620000|1682500|1700200|1720000|1721000|1741000|1760000|1790049|1790213|1790214|1790242|1790365|1790634|1813231|1813266|1813267|1813285|B551921|B552462|B552472|B552524|B552531|B552562|B552649|B552712|B552783|B553003|B553005|B553015|B553190|B553392|B553669|D000001,일반공공행정>>일반행정
74,NB000220061201100016466,임업·산촌,NB000120061201100016465,정책영역,2008-02-29,기획재정부|산림청,1051000|1400000,농림>>임업·산촌
75,NB000220061207100092269,자연,NB000120061207100091168,정책영역,2006-12-07,환경부,1480000,환경>>자연
76,NB000220061201100015524,재정·금융,NB000120061201100006252,정책영역,2023-06-09,국정기획자문위원회|대통령비서실|기획재정부|정책기획위원회|저출산고령사회위원회|북방경제협력위원회|자치분권위원회|국가균형발전위원회|국가과학기술자문회의|군사망사고진상규명위원회|부마민주항쟁진상규명및관련자명예회복심의위원회|원자력안전위원회|국무조정실|국무총리비서실|국민권익위원회|법제처|국세청|관세청|조달청|통계청|보건복지부|문화체육관광부|국토교통부|국가인권위원회|특별감찰관|국가테러대책위원회|지방자치발전위원회|행정안전부|인사혁신처|국민경제자문회의|국가기후환경회의|농어업·농어촌특별위원회|농어업농어촌특별위원회|대통령직인수위원회|여수.순천10.19사건진상규명및희생자명예회복위원회|국가교육위원회|국민통합위원회|디지털플랫폼정부위원회|녹색성장위원회|국가브랜드위원회|국가건축정책위원회|지역발전위원회|사회통합위원회|국가정보화전략위원회|지방행정체제개편추진위원회|국가지식재산위원회|국민대통합위원회|국가과학기술심의회|청년위원회|민관합동창조경제추진단|통일준비위원회|정부통합의사소통,1013050|1015000|1051000|1071000|1071800|1072200|1073100|1073500|1074500|1074900|1075150|1079960|1092000|1103000|1140100|1170000|1210000|1220000|1230000|1240000|1352000|1371000|1613000|1620000|1682500|1700200|1720000|1741000|1760000|1790049|1790213|1790214|1790242|1790634|1813231|1813266|1813267|1813285|B552462|B552472|B552524|B552531|B552562|B552649|B552712|B552783|B553003|B553005|B553015|B553190|B553392|D000001,일반공공행정>>재정·금융
77,NB000220061201100032702,전력유지,NB000120061201100032701,정책영역,2006-12-01,국방부,1290000,국방>>전력유지
78,NB000220061207100087354,정부자원관리,NB000120061201100006252,정책영역,2017-12-14,과학기술정보통신부,1721000,일반공공행정>>정부자원관리
79,B1000220140124000225469,정부조달,NB000120061201100006252,정책영역,2014-01-24,조달청,1230000,일반공공행정>>정부조달
80,NB000220061201100060020,주택,NB000120061201100031424,정책영역,2022-07-15,기획재정부|보건복지부|여성부(구)|여성가족부|국토교통부,1051000|1352000|1382000|1383000|1613000,사회복지>>주택
81,NB000220061215100128172,지방행정·재정지원,NB000120061201100006252,정책영역,2017-07-26,기획재정부|국토교통부|행정안전부,1051000|1613000|1741000,일반공공행정>>지방행정·재정지원
82,NB000220061213100114179,지역및도시,NB000120061213100114178,정책영역,2017-03-20,국토교통부|행정중심복합도시건설청|새만금개발청,1613000|1670000|1730000,지역개발>>지역및도시
83,NB000220061213100114111,철도,NB000120061201100059544,정책영역,2013-03-23,국토교통부,1613000,교통및물류>>철도
84,NB000220061215100140592,체육,NB000120061201100039075,정책영역,2008-02-29,문화체육관광부,1371000,문화체육관광>>체육
85,NB000220061215100126397,취약계층지원,NB000120061201100031424,정책영역,2010-03-19,기획재정부|보건복지부,1051000|1352000,사회복지>>취약계층지원
86,B1000220140124000225465,통상,NB000120061130100005269,정책영역,2014-01-24,산업통상자원부,1450000,산업·통상·중소기업>>통상
87,NB000220061201100061965,통일,NB000120061201100059686,정책영역,2017-11-21,민주평화통일자문회의사무처|통일부,1081000|1250000,통일·외교>>통일
88,NB000220061201100029140,평생·직업교육,NB000120061201100027875,정책영역,2013-03-23,교육부,1342000,교육>>평생·직업교육
89,NB000220061207100092374,폐기물,NB000120061207100091168,정책영역,2006-12-07,환경부,1480000,환경>>폐기물
